subject,party,poll_start,poll_end,pollster,grade,sample_size,population,poll_weight,poll_influence,approve,disapprove,approve_adjusted,disapprove_adjusted,registered_voter,likely_voter
Trump,I,2020-04-08,2020-04-09,Ipsos,B-,205,unregistered,0.22262821,0,43,57,43.804129,54.611538,FALSE,FALSE
Trump,I,2020-04-07,2020-04-10,Global Strategy Group/GBAO (Navigator Research),B/C,55.275,registered voter,0.05516676,0,43,41,45.356821,40.607295,TRUE,FALSE
Trump,I,2020-04-08,2020-04-11,TargetSmart/William & Mary,B/C,381,registered voter,0.61108157,0,45,49,44.830711,48.945033,TRUE,FALSE
Trump,I,2020-04-08,2020-04-13,Global Strategy Group/GBAO (Navigator Research),B/C,36.886667,registered voter,0.03652992,0,38,43,40.356821,42.607295,TRUE,FALSE
Trump,I,2020-04-08,2020-04-13,SSRS,C,381,unregistered,0.41977758,0,46,54,45.670608,53.742715,FALSE,FALSE
Trump,I,2020-04-10,2020-04-12,YouGov,B+,430,unregistered,0.23279518,0,45,45,43.635428,50.30531,FALSE,FALSE
Trump,I,2020-04-10,2020-04-12,Morning Consult,B,645,unregistered,0.36229503,0,42,43,44.38227,45.247297,FALSE,FALSE
Trump,I,2020-04-10,2020-04-13,Harris Insights & Analytics,B+,828,registered voter,0.7690926,0,45,55,41.327466,54.646325,TRUE,FALSE
Trump,I,2020-04-09,2020-04-14,Global Strategy Group/GBAO (Navigator Research),B/C,36.776667,registered voter,0.03620119,0,37,53,39.356821,52.607295,TRUE,FALSE
Trump,I,2020-04-09,2020-04-15,UCLA Nationscape,NA,2300,unregistered,0.33473409,0,32,46,37.67943,50.921342,FALSE,FALSE
Trump,I,2020-04-10,2020-04-15,Global Strategy Group/GBAO (Navigator Research),B/C,116.725,registered voter,0.11438236,0,37,49,39.356821,48.607295,TRUE,FALSE
Trump,I,2020-04-12,2020-04-14,YouGov,B+,603,unregistered,0.33030612,0,43,45,41.635428,50.30531,FALSE,FALSE
Trump,I,2020-04-11,2020-04-14,Civiqs,B-,640,unregistered,0.78376057,0,42,53,41.624372,53.808836,FALSE,FALSE
Trump,I,2020-04-14,2020-04-16,Harris Insights & Analytics,B+,629,registered voter,0.60406655,0,48,52,44.327466,51.646325,TRUE,FALSE
Trump,I,2020-04-13,2020-04-16,Global Strategy Group/GBAO (Navigator Research),B/C,55.605,registered voter,0.05424325,0,30,55,32.356821,54.607295,TRUE,FALSE
Trump,I,2020-04-15,2020-04-16,Ipsos,B-,193,unregistered,0.19109515,0,42,55,42.804129,52.611538,FALSE,FALSE
Trump,I,2020-04-14,2020-04-17,Global Strategy Group/GBAO (Navigator Research),B/C,57.3275,registered voter,0.05578206,0,31,51,33.356821,50.607295,TRUE,FALSE
Trump,I,2020-04-15,2020-04-19,McLaughlin & Associates,C/D,310,likely voter,0.39669998,0,51,48,49.377313,48.032019,TRUE,TRUE
Trump,I,2020-04-14,2020-04-19,ABC News/The Washington Post,A+,356,unregistered,0.69818601,0,42,57,40.482092,56.778514,FALSE,FALSE
