CZ,CZ Name,State,Census 2000 population,Urban Areas,Frac. Black,Racial Segregation,Income Segregation,Segregation of Poverty (<p25),Segregation of Affluence (>p75),Frac. with Commute < 15 Mins,Household Income per capita,Gini,Top 1% Income Share,Gini Bottom 99%,Frac. Between p25 and p75,Local Tax Rate,Local Government Expenditures Per Capita,State Income Tax Progressivity,State EITC Exposure,School Expenditure per Student,Teacher Student Ratio,Test Score Percentile (Income Adjusted,High School Dropout Rate (Income Adjusted),Number of Colleges per Capita,College Tuition,College Graduation Rate (Income Adjusted),Labor Force Participation Rate,Manufacturing Employment Share,Growth in Chinese Imports 1990-2000,Teenage Labor Force Participation Rate,Migration Inflow Rate,Migration Outlflow Rate,Frac. Foreign Born,Social Capital Index,Fraction Religious,Violent Crime Rate,Fraction of Children with Single Mothers,Fraction of Adults Divorced,Fraction of Adults Married,Income Growth 2000-2006/10
23200,Dubuque,IA,"163,189",1,0.005,0.091,0.035,0.032,0.035,0.524,36443,0.338,11.587,0.222,0.65,0.022,1773,2.86,3.714,5.516,15.8,3.928,-0.013,0.031,13580,0.136,0.687,0.192,4.49,0.007,0.012,0.013,0.019,1.147,0.813,0.001,0.148,0.079,0.599,0.001
23301,Charleston,IL,"101,161",0,0.016,0.071,0.034,0.039,0.025,0.481,31206,0.352,6.921,0.283,0.604,0.017,1503,0,0.476,4.034,17.3,9.104,0.016,0.02,2968,0.111,0.63,0.223,1.55,0.005,0.013,0.014,0.011,0.609,0.456,,0.187,0.098,0.53,-0.004
23302,Douglas,IL,"101,195",0,0.02,0.223,0.018,0.015,0.018,0.485,31741,0.367,12.107,0.246,0.64,0.014,1491,0,0.476,4.165,18.5,7.493,-0.015,0.01,5275,0.128,0.625,0.227,1.003,0.006,0.01,0.011,0.008,1.223,0.621,,0.163,0.098,0.604,0.003
23400,Bloomington,IL,"206,909",1,0.055,0.098,0.071,0.061,0.082,0.496,37177,0.339,9.715,0.241,0.515,0.026,1666,0,0.476,4.954,17.7,7.534,0.002,0.014,5640,0.175,0.7,0.114,1.485,0.006,0.023,0.023,0.028,0.565,0.479,,0.183,0.092,0.552,-0.004
23500,Decatur,IL,"382,083",1,0.095,0.23,0.099,0.116,0.082,0.451,34871,0.402,11.171,0.29,0.562,0.021,1607,0,0.476,4.526,17.8,2.445,0.011,0.01,4872,0.309,0.657,0.145,0.702,0.006,0.017,0.019,0.044,0.511,0.477,,0.218,0.093,0.525,-0.006
23600,Burlington,IA,"136,489",0,0.021,0.092,0.026,0.026,0.024,0.502,35038,0.318,8.255,0.235,0.646,0.022,1881,2.86,3.714,5.634,15.4,1.478,-0.008,0.015,3922,-0.142,0.645,0.254,1.23,0.006,0.006,0.008,0.012,1.368,0.503,0.003,0.197,0.108,0.584,-0.008
23700,Galesburg,IL,"145,734",0,0.043,0.176,0.038,0.047,0.027,0.509,30827,0.402,15.531,0.247,0.612,0.019,1784,0,0.476,4.541,18.1,5.43,0.031,0.034,6384,0.151,0.61,0.16,1.161,0.005,0.01,0.012,0.016,0.751,0.399,,0.211,0.108,0.556,-0.009
23801,Davenport,IL,"382,351",1,0.055,0.164,0.058,0.051,0.061,0.393,37759,0.37,9.948,0.271,0.536,0.021,1921,0,0.476,5.271,17.1,0.599,-0.001,0.024,7381,0.012,0.664,0.179,1.202,0.006,0.01,0.011,0.033,0.735,0.508,0.005,0.226,0.108,0.562,0
23802,Clinton,IA,"70,445",0,0.013,0.075,0.026,0.019,0.03,0.479,34146,0.306,7.263,0.234,0.631,0.023,2139,2.86,3.714,6.098,15.4,5.201,-0.006,0.014,13200,-0.098,0.663,0.232,0.605,0.006,0.016,0.016,0.012,1.108,0.593,0.002,0.188,0.096,0.586,0.004
23900,Peoria,IL,"529,703",1,0.061,0.27,0.057,0.056,0.055,0.394,38842,0.368,10.056,0.268,0.534,0.018,1715,0,0.476,4.831,16.7,4.328,0.011,0.009,8252,0.032,0.639,0.191,0.53,0.006,0.014,0.012,0.022,0.946,0.52,0.002,0.203,0.097,0.584,0.001
24000,Kenosha,WI,"584,474",1,0.059,0.177,0.051,0.05,0.052,0.384,39333,0.351,11.463,0.237,0.55,0.025,2515,0.25,11.667,6.816,16.5,-4.058,-0.012,0.01,5669,0.042,0.688,0.276,1.462,0.006,0.026,0.019,0.043,0.653,0.53,0,0.212,0.1,0.566,-0.009
24100,Milwaukee,WI,"1,660,659",1,0.141,0.436,0.115,0.106,0.118,0.312,42464,0.428,14.82,0.28,0.49,0.027,2977,0.25,11.667,7.74,17,-4.162,0.001,0.009,9352,0.002,0.683,0.216,1.171,0.006,0.013,0.017,0.051,1.121,0.561,0,0.245,0.092,0.532,-0.009
24200,Bourbonnais,IL,"135,167",1,0.12,0.337,0.045,0.047,0.045,0.41,35849,0.355,8.544,0.27,0.577,0.017,1632,0,0.476,4.785,18.7,3.27,0.002,0.015,9454,0.062,0.649,0.166,1.003,0.005,0.025,0.017,0.032,0.25,0.497,,0.221,0.093,0.563,-0.009
