CZ,CZ Name,State,Census 2000 population,Urban Areas,Frac. Black,Racial Segregation,Income Segregation,Segregation of Poverty (<p25),Segregation of Affluence (>p75),Frac. with Commute < 15 Mins,Household Income per capita,Gini,Top 1% Income Share,Gini Bottom 99%,Frac. Between p25 and p75,Local Tax Rate,Local Government Expenditures Per Capita,State Income Tax Progressivity,State EITC Exposure,School Expenditure per Student,Teacher Student Ratio,Test Score Percentile (Income Adjusted,High School Dropout Rate (Income Adjusted),Number of Colleges per Capita,College Tuition,College Graduation Rate (Income Adjusted),Labor Force Participation Rate,Manufacturing Employment Share,Growth in Chinese Imports 1990-2000,Teenage Labor Force Participation Rate,Migration Inflow Rate,Migration Outlflow Rate,Frac. Foreign Born,Social Capital Index,Fraction Religious,Violent Crime Rate,Fraction of Children with Single Mothers,Fraction of Adults Divorced,Fraction of Adults Married,Income Growth 2000-2006/10
26305,Rugby,ND,"11,487",0,0.001,0.019,0.014,0.005,0.02,0.665,33947,0.369,10.406,0.265,0.647,0.022,1410,3.44,0,5.253,13.7,12.369,-0.029,,,,0.56,0.032,0.021,0.007,0.002,0.008,0.01,2.379,0.838,0,0.139,0.061,0.63,0.01
26401,Ekalaka,SD,"2,713",0,0.002,0.015,0.003,0.004,0,0.665,25283,0.225,,,,0.055,2352,0,0,5.864,11.5,,,,,,0.692,0.007,0.011,,,,0.008,1.967,0.508,0,0.111,0.074,0.653,0.035
26402,Baker,MT,"2,837",0,0.001,0,0,0,0,0.713,30325,0.267,,,,0.041,4110,0,0,7.306,12.8,,,,,,0.665,0.007,0.004,,,,0.01,1.605,0.866,0.002,0.109,0.072,0.651,0.03
26403,Bowman,ND,"4,009",0,0,0.015,0.006,0.007,0.002,0.648,34194,0.297,,,,0.02,1820,3.44,0,5.772,12.2,,,,,,0.665,0.03,0.1,,0,0.004,0.004,2.46,0.893,0,0.082,0.065,0.648,0.022
26404,Lemmon,ND,"8,671",0,0.002,0.042,0.001,0,0,0.704,34793,0.31,8.435,0.226,0.673,0.028,1943,3.44,0,6.404,13.4,17.086,-0.036,,,,0.599,0.054,0.593,0.007,0,0.008,0.01,3.161,0.887,0,0.12,0.056,0.633,0.013
26405,Scobey,MT,"2,017",0,0,0.007,0.012,0.01,0.012,0.71,32705,0.262,,,,0.033,3841,0,0,8.514,11.8,,,,,,0.567,0.005,0.005,,,,0.048,2.841,1.308,0.001,0.15,0.085,0.601,0.021
26406,Wolf Point,MT,"12,597",0,0.001,0.3,0.014,0.014,0.009,0.7,24254,0.33,5.489,0.275,0.527,0.032,2392,0,0,7.014,14.1,-10.316,0.038,0.079,1200,-0.234,0.626,0.016,2.831,0.005,0.005,0.007,0.008,0.364,0.793,0,0.261,0.106,0.516,0.007
26407,Plentywood,MT,"4,105",0,0.001,0.014,0.004,0.005,0.002,0.681,33727,0.263,,,,0.028,2408,0,0,7.281,13,,,,,,0.59,0.028,0,,0,0.007,0.018,1.27,0.758,0.001,0.095,0.068,0.607,0.031
26408,Glasgow,MT,"12,276",0,0.001,0.213,0.021,0.022,0.014,0.697,31217,0.318,4.758,0.271,0.609,0.037,6900,0,0,7.491,13.6,9.237,-0.028,,,,0.618,0.014,0.082,0.006,0.005,0.01,0.011,1.564,0.597,0.001,0.165,0.074,0.613,0.024
26409,Glendive,MT,"12,051",0,0.002,0.012,0.004,0.005,0.004,0.735,29215,0.26,4.291,0.217,0.688,0.028,2130,0,0,5.793,14.5,11.656,-0.026,0.083,1236,0.08,0.623,0.009,0.018,0.007,0.003,0.009,0.01,1.751,0.542,0.001,0.143,0.085,0.606,0.027
26410,Dickinson,ND,"27,124",0,0.002,0.219,0.016,0.009,0.019,0.659,29909,0.312,8.093,0.231,0.664,0.019,1600,3.44,0,5.08,18.1,10.289,-0.027,0.037,1982,-0.06,0.662,0.082,0.259,0.006,0.01,0.014,0.008,1.261,0.836,0,0.154,0.072,0.598,0.019
26411,Sidney,ND,"22,035",0,0.001,0.481,0.009,0.005,0.007,0.637,30292,0.296,5.407,0.242,0.667,0.023,2385,3.44,0,6.291,14.4,5.512,-0.019,0.045,1920,-0.185,0.62,0.042,0.16,0.006,0.01,0.017,0.014,1.421,0.658,0.001,0.181,0.081,0.593,0.031
26412,Williston,ND,"24,286",0,0.001,0.092,0.014,0.015,0.012,0.702,32277,0.321,7.252,0.248,0.654,0.019,1957,3.44,0,5.093,16.1,9.652,-0.034,0.041,1592,-0.005,0.643,0.033,0.047,0.006,0.01,0.011,0.013,1.353,0.828,0,0.187,0.09,0.584,0.033
26501,Brookings,SD,"40,630",0,0.003,0.126,0.012,0.017,0.007,0.64,30234,0.317,9.071,0.226,0.67,0.029,2273,0,0,4.768,15.5,12.972,-0.022,0.025,1933,0.127,0.72,0.196,1.104,0.007,0.017,0.017,0.019,1.262,0.663,0,0.151,0.063,0.525,-0.008
26502,Madison,SD,"14,160",0,0.003,0.017,0.022,0.018,0.023,0.632,30819,0.323,9.604,0.227,0.686,0.027,2611,0,0,4.547,17.2,13.99,-0.024,0.071,1935,-0.016,0.67,0.167,0.198,0.006,0.014,0.019,0.008,2.281,0.725,0,0.139,0.068,0.564,0.012
26503,Sioux Falls,SD,"200,630",1,0.012,0.082,0.076,0.063,0.087,0.439,36624,0.387,13.17,0.256,0.599,0.028,1707,0,0,5.132,17.3,-0.6,-0.004,0.04,5666,0.023,0.742,0.119,0.492,0.007,0.026,0.019,0.034,1.629,0.643,0.001,0.181,0.089,0.563,0.001
26504,Watertown,SD,"40,078",0,0.001,0.028,0.023,0.02,0.023,0.595,35143,0.33,7.69,0.253,0.683,0.027,2099,0,0,4.92,17.4,14.26,-0.013,0.025,1980,0.376,0.693,0.199,1.113,0.007,0.012,0.015,0.011,1.789,0.826,0.001,0.144,0.071,0.611,0.003
26601,Milbank,MN,"17,801",0,0.001,0.07,0.005,0.003,0.003,0.65,34361,0.31,6.661,0.243,0.686,0.025,5010,2.5,17.286,6.052,15.6,11.685,-0.033,,,,0.596,0.078,0.258,0.007,0.004,0.006,0.01,2.339,1.004,0.001,0.119,0.057,0.635,0.015
26602,Sisseton,SD,"20,859",0,0.001,0.263,0.011,0.016,0.004,0.563,30613,0.292,4.579,0.246,0.616,0.026,1563,0,0,5.094,13.9,4.794,-0.006,0.048,,-0.158,0.6,0.099,0.75,0.006,0.008,0.009,0.007,2.331,0.831,0.001,0.171,0.078,0.579,0.006
26603,East Corson UT,SD,"8,225",1,0.001,0.234,0.014,0.011,0.012,0.505,17401,0.457,14.908,0.307,0.465,0.017,1539,0,0,6.853,12.3,-22.102,0.099,0.243,17000,-0.229,0.546,0.016,0,0.006,0.009,0.016,0.005,-0.244,0.693,0,0.344,0.105,0.405,0.017
26604,Mobridge,SD,"7,756",0,0,0.141,0.003,0.004,0.003,0.708,31322,0.272,4.955,0.222,0.663,0.027,1702,0,0,5.09,15.5,19.04,-0.01,,,,0.593,0.029,0,0.007,0.005,0.006,0.005,2.379,0.834,0.001,0.189,0.083,0.579,0.027
26605,Aberdeen,SD,"52,825",0,0.002,0.049,0.025,0.027,0.023,0.676,33760,0.366,10.84,0.257,0.636,0.03,1759,0,0,5.042,15.4,7.676,-0.014,0.038,2466,-0.014,0.656,0.094,0.275,0.007,0.008,0.01,0.008,2.063,0.862,0.001,0.154,0.075,0.591,0.005
26701,Bemidji,MN,"101,639",0,0.002,0.317,0.027,0.027,0.025,0.449,31567,0.395,9.319,0.302,0.577,0.021,2723,2.5,17.286,7.145,16.5,4.087,0.006,0.039,2810,0.074,0.635,0.11,0.506,0.006,0.018,0.017,0.014,1.443,0.564,0.001,0.211,0.087,0.57,0.008
26702,Grafton,ND,"31,090",0,0.002,0.072,0.013,0.012,0.012,0.582,34409,0.337,9.879,0.238,0.659,0.026,2180,3.44,0,5.561,15.5,8.881,-0.026,0.032,13175,,0.617,0.112,0.059,0.007,0.007,0.012,0.026,2.415,0.876,0,0.124,0.067,0.617,0.019
26703,Thief River Falls,MN,"28,038",0,0.002,0.067,0.01,0.007,0.012,0.534,32095,0.336,9.085,0.245,0.672,0.022,3713,2.5,17.286,6.982,15.6,9.516,-0.032,0.071,2427,-0.091,0.648,0.174,0.287,0.006,0.01,0.013,0.016,2.338,0.826,0,0.164,0.077,0.589,0.014
26704,Grand Forks,ND,"108,213",1,0.009,0.077,0.054,0.052,0.056,0.613,31651,0.333,10.207,0.231,0.64,0.022,2039,3.44,0,5.709,16.8,8.004,-0.017,0.028,2733,0.094,0.68,0.074,0.168,0.006,0.019,0.024,0.027,1.612,0.674,0.001,0.181,0.074,0.532,0.002
26801,Fargo,ND,"206,945",1,0.006,0.056,0.065,0.056,0.074,0.518,34085,0.365,11.083,0.254,0.597,0.02,2263,3.44,0,6.269,17.2,6.018,-0.014,0.024,2686,0.054,0.721,0.096,0.151,0.006,0.023,0.02,0.027,1.8,0.624,0.001,0.171,0.08,0.533,0.003
26802,Lisbon,ND,"16,013",0,0.001,0.015,0.018,0.017,0.014,0.606,35168,0.268,6.895,0.199,0.699,0.021,1429,3.44,0,4.879,17.3,10.804,-0.031,0.062,5700,0.137,0.647,0.192,0.318,0.007,0.01,0.014,0.011,2.606,0.882,0,0.1,0.07,0.626,0.006
26803,Jamestown,ND,"38,384",0,0.003,0.04,0.023,0.024,0.021,0.667,32842,0.329,8.37,0.245,0.648,0.02,1406,3.44,0,5.257,16.4,10.253,-0.034,0.052,5551,0.092,0.631,0.104,0.399,0.007,0.01,0.013,0.01,2.26,0.755,0,0.156,0.081,0.571,0.013
26804,Cooperstown,ND,"2,754",0,0,0.039,0.001,0.001,0.001,0.615,34890,0.403,,,,0.025,1392,3.44,0,6.071,13.7,,,,,,0.583,0.093,1.673,,0.006,0.008,0.009,2.695,0.746,0,0.086,0.047,0.638,0.011
26901,Fergus Falls,MN,"117,558",0,0.003,0.095,0.017,0.02,0.016,0.526,36094,0.335,8.518,0.25,0.648,0.019,2972,2.5,17.286,6.713,16.9,15.814,-0.003,0.026,3215,0.063,0.637,0.148,0.436,0.007,0.017,0.015,0.015,2.729,0.731,0.001,0.136,0.072,0.608,0.007
26902,Little Falls,MN,"69,851",0,0.002,0.058,0.014,0.013,0.015,0.435,31851,0.308,6.947,0.239,0.659,0.017,2770,2.5,17.286,7.227,17.4,7.154,-0.019,,,,0.643,0.195,0.876,0.006,0.023,0.021,0.013,1.556,0.667,0.001,0.145,0.079,0.602,0.006
27001,O'Neill,NE,"14,875",0,0,0.022,0.005,0.003,0.007,0.653,31084,0.296,6.285,0.234,0.628,0.024,1668,1.72,0,8.565,12,10.016,-0.033,,,,0.654,0.033,0.013,0.006,0.004,0.005,0.007,1.311,0.688,0,0.097,0.06,0.649,0.013
27002,Ord,NE,"9,975",0,0.002,0.025,0.002,0.003,0.003,0.658,31042,0.362,6.536,0.296,0.597,0.032,2684,1.72,0,6.896,11.9,9.69,-0.034,,,,0.63,0.037,0.082,0.006,0,0.006,0.008,0.837,0.822,0,0.109,0.065,0.636,0.006
27003,Ainsworth,NE,"6,264",0,0,0.039,0.005,0.004,0.007,0.67,30825,0.291,5.895,0.232,0.571,0.032,2817,1.72,0,6.274,11.6,0.131,,,,,0.635,0.038,1.279,0.007,,,0.008,1.548,0.545,0,0.137,0.076,0.639,0.003
27004,Winner,SD,"11,222",0,0,0.034,0.005,0,0.006,0.673,29623,0.346,7.011,0.276,0.586,0.027,1773,0,0,4.964,14.8,16.809,-0.019,,,,0.627,0.014,0.213,0.007,0.001,0.006,0.005,1.978,0.705,0.001,0.122,0.071,0.6,0.026
27005,Yankton,SD,"47,901",0,0.006,0.148,0.017,0.012,0.016,0.583,31086,0.309,6.798,0.241,0.67,0.025,1860,0,0,6.307,16.2,8.914,-0.017,0.021,9710,0.071,0.636,0.142,1.58,0.007,0.007,0.012,0.011,1.31,0.769,0.001,0.138,0.068,0.619,0.009
27006,Mitchell,SD,"27,613",0,0.002,0.032,0.007,0.007,0.009,0.641,33753,0.396,13.422,0.261,0.639,0.03,1673,0,0,5.252,14.8,15.04,-0.03,0.072,4330,0.337,0.667,0.133,1.86,0.007,0.013,0.015,0.01,2.059,0.787,0.001,0.151,0.077,0.587,0.003
27007,Huron,SD,"19,318",0,0.006,0.041,0.008,0.008,0.006,0.67,35617,0.329,8.42,0.245,0.649,0.026,1636,0,0,5.12,15.5,7.178,-0.01,0.052,7200,,0.649,0.124,0.073,0.007,0.009,0.02,0.01,3.55,0.751,0,0.165,0.091,0.594,-0.001
27008,Parkston,SD,"20,883",0,0.001,0.333,0.012,0.013,0.006,0.613,29594,0.34,8.575,0.254,0.631,0.028,1539,0,0,4.736,14.1,6.127,-0.027,,,,0.599,0.066,0.061,0.007,0.007,0.009,0.007,2.774,0.903,0.001,0.14,0.055,0.608,0.013
27009,Chamberlain,SD,"11,291",0,0.002,0.554,0.056,0.068,0.039,0.6,26746,0.374,7.207,0.302,0.569,0.025,1366,0,0,5.188,13.2,13.686,-0.019,,,,0.643,0.023,0.048,0.007,0.003,0.005,0.005,0.682,0.696,0.001,0.242,0.081,0.531,0.003
27010,Miller,SD,"5,412",0,0.001,0.353,0.01,0.012,0.013,0.697,39611,0.267,,,,0.035,1977,0,0,5.358,14.3,,,,,,0.625,0.022,0.011,,0.004,0,0.009,3.375,0.722,0,0.111,0.063,0.605,-0.007
27011,Pierre,SD,"20,809",0,0.002,0.079,0.016,0.014,0.017,0.767,38653,0.344,7.779,0.266,0.609,0.027,1943,0,0,5.099,17.7,8.612,0.007,,,,0.739,0.015,0.021,0.008,0.012,0.013,0.012,5.266,0.699,0.001,0.184,0.098,0.616,0.002
27012,Gettysburg,SD,"2,693",0,0,0,0,0,0,0.729,37190,0.3,,,,0.03,1832,0,0,6.693,14.2,,,,,,0.614,0.047,0.052,,0,0.006,0.004,4.555,1.158,0,0.084,0.074,0.655,0.006
27101,Willmar,MN,"85,394",0,0.006,0.181,0.024,0.022,0.025,0.549,35795,0.313,7.697,0.236,0.659,0.018,3638,2.5,17.286,7.863,16.5,5.464,-0.012,0.023,2232,0.046,0.654,0.158,2.415,0.007,0.01,0.012,0.025,2.626,0.844,0.001,0.148,0.074,0.595,0.007
27102,Marshall,MN,"51,470",0,0.008,0.089,0.017,0.012,0.02,0.621,34330,0.331,9.09,0.24,0.661,0.02,3783,2.5,17.286,6.325,16.3,11.332,-0.017,0.019,2790,0.029,0.688,0.175,0.729,0.007,0.009,0.014,0.027,2.843,0.808,0,0.135,0.055,0.608,0.003
27201,Sioux Center,IA,"58,454",0,0.002,0.047,0.007,0.005,0.006,0.629,32542,0.33,13.264,0.198,0.734,0.023,2097,2.86,3.714,6.003,14.9,10.514,-0.031,0.051,10233,0.195,0.69,0.188,1.407,0.007,0.008,0.01,0.023,2.82,0.928,0.001,0.082,0.042,0.634,0.005
27202,Worthington,MN,"60,435",0,0.005,0.193,0.01,0.006,0.01,0.589,34678,0.271,6.866,0.202,0.713,0.02,3025,2.5,17.286,6.848,15.9,8.616,-0.018,,,,0.653,0.193,0.322,0.007,0.004,0.01,0.043,2.813,0.864,0.001,0.132,0.059,0.627,0.004
27301,Spencer,IA,"61,106",0,0.001,0.021,0.012,0.009,0.013,0.598,38061,0.37,12.545,0.245,0.684,0.026,2689,2.86,3.714,6.271,14.6,9.503,-0.033,,,,0.657,0.186,0.783,0.008,0.008,0.01,0.011,1.821,0.781,0,0.147,0.077,0.612,0.014
27302,Fairmont,MN,"49,010",0,0.002,0.052,0.017,0.021,0.013,0.576,35648,0.294,7.086,0.223,0.695,0.022,3270,2.5,17.286,7.665,15.3,9.026,-0.013,0.02,2016,0.058,0.648,0.207,1.774,0.007,0.009,0.012,0.016,2.86,0.878,0.001,0.157,0.073,0.608,0.007
27401,Storm Lake,IA,"52,812",0,0.003,0.217,0.008,0.007,0.01,0.614,34279,0.318,8.244,0.235,0.692,0.023,1936,2.86,3.714,6.03,13.6,4.72,-0.033,0.019,17176,0.206,0.644,0.19,0.705,0.007,0.007,0.011,0.053,2.078,0.741,0,0.146,0.069,0.597,0.004
27402,Fort Dodge,IA,"101,165",0,0.015,0.109,0.019,0.015,0.021,0.572,35646,0.33,10.56,0.224,0.668,0.027,2322,2.86,3.714,6.203,14.2,4.168,-0.022,0.01,1830,0.014,0.627,0.184,0.712,0.007,0.006,0.009,0.018,2.08,0.719,0.002,0.174,0.091,0.588,0.001
27501,Des Moines,IA,"595,842",1,0.033,0.175,0.076,0.068,0.087,0.384,40108,0.391,13.556,0.255,0.538,0.026,2490,2.86,3.714,6.405,15.9,1.707,-0.006,0.017,4899,0.09,0.722,0.092,0.27,0.007,0.019,0.015,0.051,1.595,0.483,0.001,0.182,0.098,0.564,-0.002
27502,Creston,IA,"35,600",0,0.003,0.068,0.012,0.01,0.013,0.556,31082,0.324,8.285,0.241,0.661,0.027,2736,2.86,3.714,6.49,13.4,4.511,-0.018,0.056,6668,0.123,0.649,0.172,1.868,0.006,0.013,0.013,0.016,1.415,0.478,0.001,0.185,0.091,0.599,0.005
27503,Atlantic,IA,"34,687",0,0.002,0.015,0.01,0.007,0.016,0.557,35644,0.315,8.047,0.235,0.666,0.025,2557,2.86,3.714,6.166,14.5,9.915,-0.032,,,,0.659,0.131,0.256,0.007,0.01,0.012,0.007,1.971,0.768,0.001,0.154,0.074,0.642,0.001
27504,Carroll,IA,"48,729",0,0.003,0.178,0.01,0.005,0.014,0.611,34862,0.299,6.69,0.232,0.683,0.025,2694,2.86,3.714,6.048,14.1,6.525,-0.027,,,,0.658,0.168,0.313,0.007,0.01,0.013,0.026,2.376,0.784,0,0.149,0.071,0.604,0.006
27601,Rapid City,SD,"158,442",1,0.007,0.08,0.053,0.05,0.058,0.484,33201,0.39,10.24,0.287,0.617,0.029,1719,0,0,4.695,16.8,0.755,0.012,0.025,3265,-0.05,0.688,0.079,0.628,0.007,0.012,0.013,0.017,0.744,0.542,0.001,0.216,0.111,0.576,0.006
27602,Eagle Butte,SD,"8,491",0,0,0.177,0.034,0.033,0.019,0.578,18546,0.317,5.469,0.262,0.475,0.016,1574,0,0,6.721,16.1,0.729,0.064,0.118,2940,,0.578,0.018,0.019,0.005,0.004,0.008,0.005,-0.009,0.528,0.002,0.322,0.124,0.422,0.021
27603,Southwest Jackson UT,SD,"5,126",0,0,0.441,0.039,0.041,0.024,0.669,26268,0.296,7.437,0.222,0.623,0.029,1560,0,0,5.023,12.8,11.09,-0.042,,,,0.619,0.046,0.207,0.007,0,0.009,0.008,1.482,0.609,0.001,0.19,0.066,0.562,0.017
27604,Murdo,SD,"1,193",0,0,0,0,0,0,0.715,30669,0.309,,,,0.036,1775,0,0,4.161,15.4,,,,,,0.708,0.017,0.001,,,,0,1.618,0.618,0.001,0.137,0.107,0.562,0.045
27605,Mission,SD,"11,133",0,0.001,0.102,0.003,0.001,0.003,0.465,17598,0.381,5.522,0.326,0.379,0.012,2285,0,0,5.546,13.9,-30.399,,0.09,1632,-0.083,0.587,0.014,0,0.005,0.008,0.006,0.006,0.035,0.551,0,0.391,0.138,0.373,0.008
27701,Scottsbluff,NE,"65,903",0,0.003,0.115,0.019,0.013,0.02,0.642,33192,0.346,6.759,0.279,0.605,0.024,2251,1.72,0,5.664,15.8,-1.08,0.006,0.03,1677,-0.063,0.65,0.065,0.271,0.006,0.009,0.01,0.035,1.136,0.532,0.001,0.203,0.097,0.591,-0.005
27702,Cheyenne,WY,"95,526",1,0.021,0.064,0.056,0.043,0.072,0.564,34425,0.366,9.978,0.266,0.591,0.017,3061,0,0,5.823,16.4,2.301,0.009,0.01,1128,-0.248,0.664,0.055,0.284,0.006,0.028,0.027,0.026,0.876,0.5,0.001,0.199,0.125,0.583,0.012
27703,Torrington,WY,"21,345",0,0.001,0.025,0.008,0.011,0.005,0.624,31966,0.324,5.398,0.27,0.618,0.02,3131,0,0,6.934,12.6,8.823,-0.003,0.047,1128,-0.019,0.637,0.039,0.066,0.006,0.012,0.021,0.017,0.935,0.411,0.001,0.163,0.105,0.616,0.008
27704,Gordon,SD,"22,238",0,0.001,0.486,0.034,0.046,0.019,0.588,19815,0.334,6.245,0.271,0.495,0.017,1751,0,0,6.731,13.9,-19.811,-0.006,0.045,1560,-0.277,0.57,0.019,0.157,0.005,0.009,0.01,0.007,-0.153,0.454,0.001,0.318,0.095,0.454,-0.011
27801,Virginia Beach,NE,"56,990",0,0.006,0.108,0.028,0.021,0.039,0.614,31600,0.331,11.685,0.214,0.665,0.025,2142,1.72,0,6.382,15.1,9.922,-0.022,0.035,1621,0.055,0.686,0.176,0.301,0.007,0.013,0.017,0.037,1.106,0.756,0,0.153,0.071,0.605,0.006
27802,Columbus,NE,"61,167",0,0.002,0.212,0.012,0.01,0.017,0.581,34258,0.279,7.077,0.208,0.712,0.023,11529,1.72,0,6.299,14.7,4.493,-0.012,,,,0.689,0.271,0.803,0.007,0.008,0.015,0.055,0.982,0.751,0,0.131,0.062,0.629,0
27901,Hastings,NE,"42,251",0,0.005,0.059,0.041,0.047,0.036,0.599,34343,0.375,12.631,0.248,0.641,0.039,3668,1.72,0,7.202,14.1,0.591,-0.015,0.024,12396,0.211,0.666,0.147,0.323,0.008,0.008,0.01,0.038,1.596,0.645,0,0.16,0.078,0.594,-0.003
27902,York,NE,"26,871",0,0.006,0.037,0.004,0.003,0.002,0.628,35524,0.304,7.531,0.228,0.683,0.032,2505,1.72,0,7.759,13,5.696,-0.03,0.037,8200,0.057,0.654,0.116,0.104,0.008,0.013,0.014,0.012,2.329,0.695,0.001,0.115,0.068,0.639,0.01
27903,Grand Island,NE,"77,708",1,0.003,0.15,0.032,0.023,0.037,0.561,33160,0.355,10.709,0.248,0.653,0.026,2479,1.72,0,7.078,15.5,-1.948,0.003,0.013,1320,-0.102,0.691,0.168,0.284,0.008,0.013,0.016,0.06,1.308,0.802,0.002,0.172,0.089,0.616,0
28001,Sioux City,IA,"187,773",1,0.012,0.2,0.044,0.037,0.052,0.454,35655,0.381,10.997,0.271,0.615,0.025,2173,2.86,3.714,5.613,15.9,-0.747,0.003,0.032,5084,0.036,0.689,0.215,0.358,0.007,0.007,0.014,0.062,1.267,0.597,0.002,0.186,0.088,0.568,-0.005
28002,West Point,NE,"25,165",0,0.001,0.36,0.007,0.009,0.005,0.551,32028,0.315,6.198,0.253,0.663,0.027,2508,1.72,0,5.889,13.2,6.98,0.003,0.079,1807,-0.227,0.645,0.136,0.118,0.006,0.014,0.017,0.024,1.341,0.723,0,0.177,0.072,0.608,0.011
28101,Lincoln,NE,"311,956",1,0.023,0.094,0.095,0.088,0.109,0.434,35973,0.376,14.437,0.231,0.586,0.027,2960,1.72,0,6.915,15.1,-1.788,0.012,0.022,4557,0.082,0.72,0.131,0.452,0.007,0.02,0.021,0.048,1.659,0.496,0.001,0.187,0.09,0.537,-0.004
28102,Nebraska City,NE,"40,078",0,0.002,0.062,0.013,0.014,0.017,0.514,34517,0.287,5.397,0.233,0.657,0.025,2052,1.72,0,6.737,13.8,6.023,-0.031,0.025,1973,0.01,0.644,0.127,0.56,0.006,0.015,0.018,0.015,1.614,0.662,0,0.15,0.088,0.606,-0.001
28201,Red Oak,IA,"48,197",0,0.006,0.111,0.016,0.012,0.018,0.55,33242,0.306,8.44,0.221,0.671,0.023,2014,2.86,3.714,5.934,14.3,2.605,-0.031,,,,0.623,0.209,0.985,0.006,0.011,0.011,0.012,1.309,0.556,0,0.171,0.095,0.61,0.003
28202,Omaha,NE,"803,201",1,0.073,0.262,0.109,0.092,0.123,0.349,39948,0.432,17.652,0.255,0.535,0.025,2743,1.72,0,6.173,16.6,-0.627,0.012,0.022,6011,-0.068,0.712,0.103,0.557,0.006,0.018,0.015,0.044,0.535,0.519,0.001,0.208,0.103,0.555,-0.005
28301,Sterling,CO,"39,751",0,0.011,0.066,0.015,0.019,0.014,0.64,31170,0.399,10.371,0.295,0.606,0.034,2621,0,1.429,6.612,14.7,5.504,,0.025,1386,-0.01,0.623,0.053,0.064,0.006,0.01,0.015,0.048,1.084,0.506,0.001,0.149,0.082,0.629,-0.002
28302,Ogallala,NE,"16,920",0,0.001,0.038,0.005,0.001,0.006,0.614,34904,0.326,8.858,0.238,0.671,0.037,2532,1.72,0,8.616,12.8,10.627,-0.02,,,,0.649,0.061,0.289,0.007,0.003,0.008,0.017,1.193,0.598,0.001,0.145,0.087,0.638,0.012
28303,Oshkosh,NE,"2,292",0,0.001,0,0,0,0,0.677,31316,0.278,,,,0.041,2821,1.72,0,8.744,11.2,,,,,,0.593,0.026,1.331,,,,0.011,3.942,0.7,0.001,0.147,0.095,0.628,0.006
28304,Valentine,NE,"8,122",0,0,0.031,0.003,0.001,0.004,0.704,31506,0.347,7.675,0.27,0.614,0.036,2561,1.72,0,6.509,12.2,6.61,-0.027,,,,0.683,0.026,0.01,0.007,0.004,0.006,0.006,1.716,0.557,0.001,0.14,0.077,0.638,0.014
28305,Broken Bow,NE,"13,105",0,0.001,0.01,0.004,0.002,0.004,0.63,33846,0.3,6.249,0.237,0.632,0.031,2927,1.72,0,6.951,12.6,9.913,-0.034,,,,0.649,0.1,0.414,0.006,0.007,0.014,0.005,1.554,0.585,0,0.109,0.068,0.664,0.01
28306,North Platte,NE,"35,939",0,0.005,0.038,0.021,0.016,0.023,0.598,35591,0.323,7.625,0.247,0.571,0.033,2203,1.72,0,6.038,14.6,5.513,-0.004,0.028,1260,0.024,0.658,0.037,0.184,0.006,0.017,0.014,0.011,1.646,0.602,0,0.172,0.095,0.618,0.008
28401,Colorado Springs,CO,"587,132",1,0.06,0.084,0.111,0.093,0.129,0.311,37765,0.404,11.252,0.292,0.543,0.024,2739,0,1.429,5.477,18.7,6.149,,0.02,4922,0.066,0.696,0.108,1.91,0.005,0.05,0.047,0.058,-0.169,0.365,0.002,0.187,0.108,0.594,-0.004
28402,Limon,CO,"6,087",0,0.049,0.059,0.002,0.004,0.001,0.631,25562,0.403,,,,0.035,3139,0,1.429,5.838,16.9,,,,,,0.524,0.02,0.003,,0.002,0.008,0.018,-0.17,0.346,0,0.175,0.091,0.658,0.018
28501,Springfield,CO,"4,517",0,0,0.001,0.001,0.002,0.001,0.667,31260,0.305,,,,0.041,3379,0,1.429,7.474,10.8,,,,,,0.577,0.024,0.009,,,,0.024,0.665,0.403,0.001,0.146,0.09,0.629,0.016
28502,Pueblo,CO,"187,782",1,0.017,0.089,0.072,0.061,0.083,0.44,31075,0.442,13.04,0.312,0.566,0.027,2410,0,1.429,5.7,18.3,0.741,,0.021,1795,-0.107,0.577,0.085,0.609,0.005,0.017,0.015,0.038,0.547,0.571,0.002,0.247,0.112,0.555,-0.007
28503,Trinidad,CO,"23,069",0,0.011,0.065,0.019,0.019,0.022,0.579,30720,0.372,6.173,0.31,0.484,0.041,3305,0,1.429,6.233,15.9,-3.549,,0.043,1386,0.091,0.525,0.041,0.083,0.005,0.012,0.018,0.02,0.505,0.708,0.003,0.242,0.12,0.541,0.01
28504,Burlington,CO,"11,864",0,0.013,0.068,0.004,0.002,0.005,0.655,32575,0.354,7.888,0.275,0.598,0.043,3420,0,1.429,6.836,13.2,8.654,,,,,0.613,0.03,0.052,0.007,0.005,0.013,0.048,2.048,0.634,0.001,0.121,0.082,0.633,-0.005
28601,Oberlin,KS,"6,438",0,0.004,0.004,0.004,0.001,0.007,0.645,36684,0.274,4.693,0.227,0.65,0.034,2135,0.2,1.905,7.4,11.2,15.591,-0.035,,,,0.579,0.024,0.192,0.007,,,0.008,3.01,0.694,0,0.113,0.077,0.626,0.003
28602,Norton,KS,"5,953",0,0.04,0,0,0,0,0.735,27980,0.285,5.438,0.231,0.658,0.027,2660,0.2,1.905,6.952,11.7,17.097,-0.024,,,,0.548,0.039,0.496,0.007,0.005,0.004,0.006,2.706,0.593,0.001,0.17,0.081,0.68,-0.005
